,popularity,duration (ms),label
0,75,47,popular
1,57,11,popular
2,59,38,popular
3,73,34,popular
4,84,33,popular
5,60,39,popular
6,76,46,popular
7,82,52,popular
8,76,29,popular
9,58,36,popular
10,76,53,popular
11,71,51,popular
12,54,33,popular
13,64,54,popular
14,58,28,popular
15,60,53,popular
16,58,3,popular
17,56,20,popular
18,70,29,popular
19,69,59,popular
20,77,52,popular
21,65,22,popular
22,72,46,popular
23,25,40,unpopular
24,75,47,popular
25,2,78,unpopular
26,92,3,popular
27,24,65,unpopular
28,23,3,unpopular
29,24,3,unpopular
30,35,3,unpopular
31,24,3,unpopular
32,4,48,unpopular
33,33,59,unpopular
34,69,59,popular
35,58,59,popular
36,58,58,popular
37,33,54,unpopular
38,80,36,popular
39,46,58,unpopular
40,44,80,unpopular
41,13,62,unpopular
42,15,46,unpopular
43,56,46,popular
44,13,31,unpopular
45,84,46,popular
46,88,46,popular
47,83,46,popular
48,85,46,popular
49,47,46,unpopular
50,47,39,unpopular
51,63,47,popular
52,62,51,popular
53,70,42,popular
54,54,21,popular
55,64,71,popular
56,53,48,popular
57,23,40,unpopular
58,69,47,popular
59,59,24,popular
60,77,57,popular
61,64,53,popular
62,68,0,popular
63,66,43,popular
64,64,25,popular
65,60,27,popular
66,67,16,popular
67,69,55,popular
68,67,85,popular
69,45,43,unpopular
70,57,42,popular
71,72,43,popular
72,59,100,popular
73,58,23,popular
74,58,54,popular
75,69,40,popular
76,64,46,popular
77,46,90,unpopular
78,66,21,popular
79,67,45,popular
80,45,49,unpopular
81,57,31,popular
82,70,49,popular
83,68,25,popular
84,69,25,popular
85,63,18,popular
86,72,42,popular
87,13,58,unpopular
88,56,58,popular
89,64,38,popular
90,84,13,popular
91,85,13,popular
92,0,61,unpopular
93,89,13,popular
94,24,13,unpopular
95,46,13,unpopular
96,13,13,unpopular
97,100,13,popular
98,49,23,unpopular
99,89,33,popular
