artists,track_name,popularity,duration (ms),explicit
Gen Hoshino,Comedy,73,230666,FALSE
Ben Woodward,Ghost - Acoustic,55,149610,FALSE
Ingrid Michaelson;ZAYN,To Begin Again,57,210826,FALSE
Kina Grannis,Can't Help Falling In Love,71,201933,FALSE
Chord Overstreet,Hold On,82,198853,FALSE
Tyrone Wells,Days I Will Remember,58,214240,FALSE
A Great Big World;Christina Aguilera,Say Something,74,229400,FALSE
Jason Mraz,I'm Yours,80,242946,FALSE
Jason Mraz;Colbie Caillat,Lucky,74,189613,FALSE
Ross Copperman,Hunger,56,205594,FALSE
Zack Tabudlo,Give Me Your Forever,74,244800,FALSE
Jason Mraz,I Won't Give Up,69,240165,FALSE
Dan Berk,Solo,52,198712,FALSE
Anna Hamilton,Bad Liar,62,248448,FALSE
Chord Overstreet;Deepend,Hold On - Remix,56,188133,FALSE
Landon Pigg,Falling in Love at a Coffee Shop,58,244986,FALSE
Andrew Foy;Renee Foy,ily (i love you baby),56,129750,FALSE
Andrew Foy;Renee Foy,At My Worst,54,169728,FALSE
Jason Mraz;Colbie Caillat,Lucky,68,189613,FALSE
Boyce Avenue;Bea Miller,Photograph,67,260186,FALSE
Jason Mraz,I'm Yours,75,242946,FALSE
Boyce Avenue;Jennel Garcia,Demons,63,174174,FALSE
A Great Big World;Christina Aguilera,Say Something,70,229400,FALSE
Jason Mraz,93 Million Miles,0,216386,FALSE
Jason Mraz,Unlonely,0,231266,FALSE
Jason Mraz,Bella Luna,1,302346,FALSE
Jason Mraz,Winter Wonderland,0,131760,FALSE
Jason Mraz,If It Kills Me,0,273653,FALSE
Jason Mraz,Winter Wonderland,0,131760,FALSE
Jason Mraz,Winter Wonderland,0,131760,FALSE
Jason Mraz,Winter Wonderland,0,131760,FALSE
Jason Mraz,Winter Wonderland,0,131760,FALSE
Chord Overstreet,All I Want For Christmas Is A Real Good Tan,0,234186,FALSE
Brandi Carlile;Sam Smith,Party of One,0,259558,FALSE
Brandi Carlile;Sam Smith,Party of One,0,259558,FALSE
Brandi Carlile;Sam Smith,Party of One,0,259558,FALSE
KT Tunstall,Lonely This Christmas,0,257493,FALSE
Brandi Carlile,Throwing Good After Bad,0,247791,FALSE
Brandi Carlile,This Time Tomorrow,0,206267,FALSE
KT Tunstall,Lonely This Christmas,0,257493,FALSE
Eddie Vedder,The Haves,0,306794,FALSE
Brandi Carlile,When You're Wrong,0,266960,FALSE
Brandi Carlile;Lucius,You and Me on the Rock,0,230098,FALSE
Brandi Carlile;Lucius,You and Me on the Rock,0,230098,FALSE
Brandi Carlile,"Speak Your Mind (From the Netflix Series ""We The People"")",0,193943,FALSE
Brandi Carlile;Lucius,You and Me on the Rock,0,230098,FALSE
Brandi Carlile;Lucius,You and Me on the Rock,0,230098,FALSE
Brandi Carlile;Lucius,You and Me on the Rock,0,230098,FALSE
Brandi Carlile;Lucius,You and Me on the Rock,0,230098,FALSE
Brandi Carlile;Lucius,You and Me on the Rock,0,230098,FALSE
Highland Peak,Trampoline - Acoustic,46,213098,FALSE
Motohiro Hata,透明だった世界,61,232360,FALSE
Andrew Belle,Pieces,60,241119,FALSE
Ron Pope,A Drop in the Ocean,68,220239,FALSE
Adam Christopher,So Far Away - Acoustic,52,171543,FALSE
Andrew Belle,The Enemy,62,286865,FALSE
Aron Wright,Build It Better,51,234473,FALSE
Chord Overstreet,Sleepwalking in the Rain,0,216000,FALSE
Sara Bareilles,Gravity,67,232760,FALSE
Chord Overstreet,What's Left of You,57,178600,TRUE
Zack Tabudlo,Pano,75,254400,FALSE
Andrew Belle,Sky's Still Blue,62,244320,FALSE
Kurt Cobain,And I Love Her,66,124933,FALSE
Boyce Avenue;Bea Miller,We Can't Stop,64,222146,FALSE
Tim Halperin,Always Be My Baby,62,181852,FALSE
Canyon City,Alone with You,58,186584,FALSE
Aaron Espe,Making All Things New,65,159600,FALSE
Sara Bareilles,She Used To Be Mine,67,250266,FALSE
Andrew Belle,In My Veins - Feat. Erin Mccarley,65,318908,FALSE
Tyler Ward,I Don't Wanna Live Forever (Fifty Shades Darker),44,222351,FALSE
Ron Pope,A Drop In the Ocean,55,219480,FALSE
Five For Fighting,Superman (It's Not Easy),70,221693,FALSE
Andrew Belle,When the End Comes,57,354400,FALSE
Bailey Jehl,You're Still The One,56,177500,FALSE
Ingrid Michaelson,Light Me Up,56,247840,FALSE
Jason Mraz,93 Million Miles,67,216386,FALSE
A Great Big World,Kaleidoscope,62,229320,FALSE
Eddie Vedder;Nusrat Fateh Ali Khan,The Long Road,45,330933,FALSE
Drew Holcomb & The Neighbors,What Would I Do Without You,64,172213,FALSE
Jason Mraz,Have It All,65,226106,FALSE
Gabrielle Aplin,Heavy Heart,0,235173,FALSE
Gabrielle Aplin,The House We Never Built,0,195213,FALSE
Eddie Vedder,Society,68,236306,FALSE
Gabrielle Aplin,Please Don't Say You Love Me,0,181400,FALSE
Gabrielle Aplin,Please Don't Say You Love Me,0,181400,FALSE
Eddie Vedder,Guaranteed,61,164500,FALSE
Sara Bareilles,Brave,70,220573,FALSE
KT Tunstall,Lonely This Christmas,0,257493,FALSE
KT Tunstall,Lonely This Christmas,0,257493,FALSE
Five For Fighting,Heaven Knows,62,210612,FALSE
The Civil Wars,I Heard The Bells On Christmas Day,0,154440,FALSE
The Civil Wars,I Heard The Bells On Christmas Day,0,154440,FALSE
KT Tunstall,Fairytale Of New York,0,263866,FALSE
The Civil Wars,I Heard The Bells On Christmas Day,0,154440,FALSE
The Civil Wars,I Heard The Bells On Christmas Day,0,154440,FALSE
The Civil Wars,I Heard The Bells On Christmas Day,0,154440,FALSE
The Civil Wars,I Heard The Bells On Christmas Day,0,154440,FALSE
The Civil Wars,I Heard The Bells On Christmas Day,0,154440,FALSE
KT Tunstall,Hold On,0,177613,FALSE
KT Tunstall,Suddenly I See,0,199040,FALSE
