Description,Violation Type,Vehicle Year,Time of Stop,Accident
"LEAVING UNATTENDED VEH. W/O STOPPING ENGINE, LOCKING IGNITION, REMOVING KEY & SETTING BRAKE",Citation,2016,20:02:00,No
EXCEEDING POSTED MAXIMUM SPEED LIMIT: 85 MPH IN A POSTED 55 MPH ZONE,Citation,2016,13:41:00,No
DRIVING VEH W/ TV-TYPE RECEIVING VIDEO EQUIP THAT IS ON AND VISIBLE TO THE DRIVER)ON HWY,Citation,2016,21:00:00,No
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Citation,2003,21:43:00,No
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,Citation,2001,21:30:00,No
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,Citation,2003,22:32:00,No
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,Citation,2003,22:32:00,No
FAILURE OF INDIVIDUAL DRIVING ON HWY. TO HAVE LIC.WITH HIM,Citation,2003,22:32:00,No
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Citation,2003,22:32:00,No
FAILURE TO CARRY REGISTRATION CARD WITHIN VEHICLE,Citation,2003,22:32:00,No
FAILURE TO DISPLAY & REFLECT RED COLOR LIGHT ON REAR LAMPS AND REFLECTORS AS REQ.,Citation,2003,22:32:00,No
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,Citation,2005,17:25:00,No
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Citation,2016,16:09:00,No
DRIVING VEH. WHILE WEARING EARPHONES,Citation,2016,16:09:00,No
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,Citation,2017,21:49:00,No
"DRIVING WHILE LIC. SUSP. UNDER 16-203, 16-206A2 FAIL TO ATTEND DIP, 17-106, 26-204/206, 27-103",Citation,2017,21:49:00,No
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,Citation,2017,21:49:00,No
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Citation,2011,9:43:00,No
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Citation,2018,11:04:00,No
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,Citation,2014,16:27:00,No
"DRIVING WHILE LIC. SUSP. UNDER 16-203, 16-206A2 FAIL TO ATTEND DIP, 17-106, 26-204/206,OR 27-103",Citation,2014,16:27:00,No
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,Citation,2001,18:17:00,No
"DRIVING WHILE LIC. SUSP. UNDER 16-203, 16-206A2 FAIL TO ATTEND DIP, 17-106, 26-204/206,OR 27-103",Citation,2001,18:17:00,No
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning,2018,10:06:00,No
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning,2000,10:26:00,No
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning,2006,11:11:00,No
KNOWINGLY GIVING FALSE ACCIDENT REPORT INFORMATION,Citation,2011,23:29:00,No
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning,2003,16:31:00,No
